psraid,sample,lang,state,fips,cregion,usr,llitext,form,sex,q1,intuse,emlocc,eminuse,intmob,act21,act87,act93,act112,act130,look1,look2,loc1a,loc1b,q10a,q10b,cellphn,smart1,smart2,q11a,q11b,q11c,q11d,q11e,q11f,q12,mar,4-Mar,meet,rel1,intdatea,intdateb,intdatec,intdated,intdatee,celldatea,celldateb,breaka,breakb,date1a,date3a,date3b,date9a,date9b,date9c,date9d,rel5,rel6,q13a,q13b,q13c,age,educ2,emplnw,hisp,race,inc,lgbt
200342,2,1,6,06073,4,S, ,1,2,4,1,1, ,1,1,1,2,2,2,1,2,1, , ,1,1,1,1,1,1,1,1,1,1,1,3, , ,1,2,1,1,1,1,1,1,1,2,1,1,2,1,1,2,1,1,2,1,1,2,25,3,1,2,1,3,1
200347,2,1,15,15001,4,R, ,1,2,3,1,1, ,1,2,1,2,2,2,1,2,2, , ,2,1,2,8,2,2,1,2,1,1,1,3, , ,2,2,2,2,2,2,2,2,2,2,2,1,1,2,2,1,1,2,3,2,1,2,32,6,4,2,1,1,1
200350,2,1,53,53063,4,S, ,2,2,2, , ,1,1,1,1,1,2,2,2,1, ,2, ,2,1,2,7,2,2,2,2,2,1, ,3, , ,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,2,2,2,44,6,1,2,1,6,1
200354,2,1,41,41017,4,R, ,1,1,3,1,2, ,2,2,2,2,2,2,2,2, , , ,2,1,2,8,2,2,2,2,2,1, ,1, , ,2,2,2, , , , , , , ,2,1,2,1,1,2,1,1,3,2,2,2,54,4,1,2,1,7,1
200369,2,1,37,37127,3,U, ,1,2,3,1,1, ,1,2,1,2,2,2,1,2,1, , ,2,1,2,3,2,2,2,2,2,1, ,4,2, , ,1,2, , , , , , , ,2,2,2,2,2,1,1, , ,2,2,2,62,3,6,2,1,2,1
200379,2,1,37,37019,3,S, ,2,2,1, , ,1,1,1,1,2,2,2,1,2, ,2, ,1,1,1,3,1,1,1,1,1,1,3,1, , ,2,2,2, , , , , , , ,2,1,1,1,8,2,2,1,2,2,2,2,53,4,1,2,1,8,1
200383,2,1,28,28083,3,R, ,1,2,3,2,2, ,2, , , , , , , , , , ,2,1,2,7,2,2,2,2,2,2, ,3,2, , , , , , , , , , , , ,2,2,1,1,2,2, , ,2,2,2,69,3,3,2,2,2,1
200385,2,1,47,47189,3,S, ,1,1,4,1,2, ,2,2,2,2,2,2,2,2, , , ,2,1,2,12,2,2,2,2,2,1, ,2, , ,2,2,2, , , , , , , ,2,1,2,1,1,2,2,2,3,2,2,2,58,3,1,2,1,5,1
200387,2,1,48,48331,3,R, ,2,1,3, , ,1,1,1,1,2,2,2,1,2, ,2, ,2,1,1,3,1,1,1,2,1,1,2,1, , ,2,2,2, , , , , , , ,2,2,2,2,2,1,2,1,3,2,2,2,59,6,1,2,1,6,1
200389,2,1,48,48423,3,U, ,1,2,4,1,1, ,1,1,1,2,2,2,1,2,2, , ,1,1,2,10,2,2,2,2,2,1, ,1, , ,2,2,2, , , , , , , ,2,1,1,1,1,2,1,1,3,2,2,2,56,2,4,2,1,3,1
200391,2,1,45,45013,3,R, ,1,1,2,1,1, ,1,1,2,1,2,2,1,2, , , ,1,1,1,1,1,1,1,2,2,1,2,1, , ,1,2,1,2,1,2,1,2,2,2,1,1,2,1,1,2,2,1,2,2,2,2,61,8,1,2,1,8,1
200401,2,1,22,22071,3,U, ,1,1,2,1,1, ,1,1,1,1,2,1,1,2,2, , ,1,1,1,1,1,1,1,1,1,1,3,9,9, , ,2,1, , , , , , , ,2,1,1,8,1,2,8, , ,2,1,2,28,5,1,9,9,7,1
200402,2,1,42,42087,1,R, ,1,2,1,1,1, ,1,1,1,2,1,2,1,1,1, , ,1,1,1,1,1,1,1,1,1,1,2,6, , ,2,2,1,1,2,1,2,1,2,2,2,1,1,1,2,2,2,1,2,2,2,2,22,4,1,2,1,9,1
200403,2,1,51,51810,3,U, ,1,1,4,2,2, ,1,2,2,1,2,2,2,2, , , ,2,1,2,3,1,1,1,2,1,1,1,6,1,2, ,2,2,2,2,2,2,2,2,2,1,2,2,1,1,2,1, , ,2,1,2,37,5,2,2,2,6,1
200406,2,1,45,45029,3,R, ,2,2,4, , ,1,1,1,1,2,1,2,1,2, ,2, ,2,1,1,3,1,1,1,2,1,1,3,6,2, , ,2,2, , , , , , , ,1,2,2,2,2,2,2, , ,2,2,2,39,3,1,2,1,2,1
200413,2,1,16,16043,4,R, ,1,2,3,1,1, ,1,1,1,2,2,2,2,2,2, , ,2,1,1,3,2,1,1,2,1,1,2,1, , ,2,2,1,2,1,2,1,2,2,2,2,2,2,2,1,1,2,1,3,2,2,2,30,6,4,2,1,4,1
